id,lastUpdateTime,name,total_confirm,total_suspect,total_heal,total_dead,total_severe,total_input,today_confirm,today_suspect,today_heal,today_dead,today_severe,today_storeConfirm,today_input
950777,2021-05-15 14:36:55,巴基斯坦,874751,0,783480,19467,0,0.0,1531.0,,3042.0,83.0,,,
9577890,2021-05-15 10:01:54,埃及,243317,0,179817,14206,0,0.0,1197.0,,556.0,56.0,,,
9577665,2021-05-15 08:31:53,科威特,290006,0,275745,1681,0,0.0,1822.0,,0.0,0.0,,,
95903,2021-05-15 17:51:59,斯洛伐克,387420,0,255300,12203,0,0.0,258.0,,0.0,35.0,,,
95904,2020-06-15 13:47:38,直布罗陀,176,0,173,0,0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
959333,2020-06-16 00:00:31,摩纳哥,99,0,93,4,0,,,,,,,,
9509765,2021-05-15 09:07:00,巴拉圭,309638,0,256345,7482,0,0.0,2181.0,,1985.0,55.0,,,
856671,2020-06-12 16:58:47,荷属安的列斯,22,0,15,1,0,,,,,,,,
95711,2020-06-15 00:00:31,多米尼克,18,0,16,0,0,,,,,,,,
95703,2021-05-15 14:52:04,乌兹别克斯坦,96368,0,91831,667,0,0.0,251.0,,324.0,0.0,,,
95293,2021-05-15 08:31:53,黑山,98703,0,95676,1556,0,0.0,84.0,,132.0,5.0,,,
95294,2021-05-15 08:31:52,危地马拉,240170,0,219456,7845,0,0.0,1383.0,,1135.0,13.0,,,
95290,2021-05-15 10:01:54,加蓬,23799,0,20379,143,0,0.0,65.0,,109.0,0.0,,,
95291,2021-05-15 08:31:53,苏丹,34889,0,27949,2446,0,0.0,0.0,,0.0,0.0,,,
87435,2021-05-15 08:31:52,利比亚,181179,0,167629,3085,0,0.0,234.0,,0.0,0.0,,,
95287,2020-06-15 14:48:56,圣马丁岛,77,0,61,15,0,,,,,,,,
95046,2021-05-15 08:31:52,土耳其,5095390,0,4894024,44301,0,0.0,11394.0,,37261.0,242.0,,,
95047,2020-06-12 17:02:54,巴布亚新几内亚,8,0,8,0,0,,,,,,,,
95000011,2021-05-15 08:31:52,多米尼加,275378,0,232925,3565,0,0.0,1059.0,,300.0,5.0,,,
95076,2021-05-15 08:31:52,约旦,722754,0,710445,9203,0,0.0,0.0,,35.0,0.0,,,
9532556,2021-05-15 17:36:58,亚美尼亚,220729,0,208100,4314,0,0.0,282.0,,636.0,13.0,,,
811192,2020-06-12 17:01:29,圣基茨和尼维斯,15,0,15,0,0,,,,,,,,
89665,2020-06-15 13:49:44,瓜德罗普,171,0,157,14,0,,,0.0,,,0.0,,
94367,2021-05-15 08:31:53,安提瓜和巴布达,1240,0,1179,32,0,0.0,0.0,,0.0,0.0,,,
95215,2021-05-15 17:51:59,玻利维亚,329733,0,269288,13451,0,0.0,4865.0,,1315.0,106.0,,,
95693,2021-05-15 08:31:52,哥伦比亚,3084460,0,2888990,80250,0,0.0,16581.0,,14334.0,490.0,,,
879903,2020-06-12 16:57:52,圣文森特和格林纳丁斯,27,0,25,0,0,,,,,,,,
84326,2020-06-12 16:59:25,圣卢西亚,19,0,18,0,0,,,,,,,,
10,2021-05-15 10:01:54,法国,5909386,0,377338,107584,0,0.0,6487.0,,806.0,171.0,,,
11,2021-05-15 19:52:00,阿联酋,544931,0,525080,1629,0,0.0,1321.0,,1302.0,3.0,,,
12,2021-05-15 09:07:00,加拿大,1326989,0,1232005,24857,0,0.0,5247.0,,7998.0,42.0,,,
13,2021-05-15 14:36:55,印度,24372907,0,20432898,266207,0,0.0,326098.0,,353299.0,3890.0,,,
14,2021-05-15 17:36:57,英国,4462607,0,15236,127930,0,0.0,8.0,,23.0,0.0,,,
15,2021-05-15 08:31:52,意大利,4146722,0,3683189,123927,0,0.0,7562.0,,13782.0,182.0,,,
16,2021-05-15 17:36:58,俄罗斯,4875308,0,4495406,113541,0,0.0,8667.0,,9814.0,359.0,,,
17,2021-05-15 17:51:59,菲律宾,1138187,0,1062427,19051,0,0.0,6720.0,,8904.0,93.0,,,
18,2021-05-15 17:51:59,芬兰,89878,0,46000,931,0,0.0,192.0,,0.0,0.0,,,
19,2021-05-15 08:31:52,尼泊尔,439658,0,327653,4669,0,0.0,8467.0,,0.0,0.0,,,
95682,2021-05-15 08:31:52,葡萄牙,841379,0,802285,16999,0,0.0,450.0,,324.0,0.0,,,
95200,2021-05-15 08:31:53,也门,6523,0,3008,1285,0,0.0,16.0,,5.0,7.0,,,
954356,2020-06-15 00:00:31,塞舌尔,11,0,11,0,0,,,,,,,,
20,2021-05-15 08:31:53,西班牙,3604799,0,3297340,79339,0,0.0,6347.0,,0.0,58.0,,,
21,2021-05-15 20:57:09,斯里兰卡,138085,0,110108,921,0,0.0,1400.0,,0.0,29.0,,,
9509,2021-05-15 08:31:53,阿尔及利亚,125059,0,87137,3360,0,0.0,170.0,,134.0,5.0,,,
22,2021-05-15 15:52:00,柬埔寨,21834,0,10740,147,0,0.0,335.0,,873.0,0.0,,,
95239,2021-05-15 10:56:59,海地,13268,0,12414,269,0,0.0,13.0,,17.0,0.0,,,
23,2021-05-15 08:31:52,瑞典,1037126,0,0,14275,0,0.0,9192.0,,0.0,0.0,,,
95237,2020-06-15 14:48:06,特里尼达和多巴哥,123,0,109,8,0,,,0.0,,,0.0,,
95jibuti,2021-05-15 08:31:52,吉布提,11402,0,11241,151,0,0.0,13.0,,20.0,0.0,,,
9512314,2020-06-15 11:44:39,圣多美与普林西比,659,0,176,12,0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
953487,2021-05-15 10:01:54,布基纳法索,13394,0,13194,164,0,0.0,7.0,,10.0,0.0,,,
954332,2021-05-15 10:56:59,比利时,1028104,0,0,24664,0,0.0,1631.0,,0.0,19.0,,,
9534324,2021-05-15 08:31:52,伊拉克,1134859,0,1034396,15910,0,0.0,2767.0,,5769.0,27.0,,,
95000111,2021-05-15 08:31:52,马拉维,34200,0,32176,1153,0,0.0,17.0,,0.0,0.0,,,
95010,2021-05-15 08:31:52,冰岛,6537,0,6445,29,0,0.0,11.0,,0.0,0.0,,,
95jnybs,2021-05-15 10:57:00,几内亚比绍,3745,0,3427,67,0,0.0,2.0,,9.0,0.0,,,
953333666,2021-05-15 19:52:00,拉脱维亚,127597,0,116427,2257,0,0.0,544.0,,757.0,9.0,,,
9512111,2020-06-15 14:49:07,不丹,66,0,21,0,0,,,0.0,,,0.0,,
957873,2021-05-15 08:31:52,挪威,118740,0,17998,774,0,0.0,202.0,,0.0,0.0,,,
9524546,2021-05-15 18:52:01,印度尼西亚,1736670,0,1597067,47967,0,0.0,2385.0,,4181.0,144.0,,,
956789,2021-05-15 10:01:54,安哥拉,30030,0,25650,651,0,0.0,335.0,,21.0,2.0,,,
87656,2020-06-15 13:46:13,开曼群岛,187,0,115,1,0,,,,,,,,
95844,2021-05-15 08:31:53,埃塞俄比亚,265413,0,217370,3964,0,0.0,453.0,,1636.0,13.0,,,
95879,2020-06-15 00:00:31,梵蒂冈,12,0,12,0,0,,,,,,,,
95632,2021-05-15 10:01:54,科特迪瓦,46535,0,46006,295,0,0.0,15.0,,29.0,1.0,,,
95634,2021-05-15 08:31:52,卡塔尔,212667,0,205750,524,0,0.0,244.0,,0.0,0.0,,,
95411,2020-06-12 17:03:24,莱索托,4,0,2,0,0,,,,,,,,
950611,2021-05-15 17:36:58,格鲁吉亚,329407,0,307918,4426,0,0.0,1576.0,,584.0,29.0,,,
96745,2021-05-15 10:57:00,墨西哥,2377995,0,1897587,220159,0,0.0,2880.0,,2104.0,258.0,,,
95891,2021-05-15 08:31:53,圣马力诺,5083,0,4968,90,0,0.0,0.0,,0.0,0.0,,,
95400,2021-05-15 12:51:54,哈萨克斯坦,409659,0,365452,3392,0,0.0,2635.0,,2768.0,1.0,,,
95643,2021-05-15 08:31:52,安道尔,13510,0,13155,127,0,0.0,40.0,,51.0,0.0,,,
95886,2021-05-15 08:31:53,牙买加,47150,0,22895,838,0,0.0,130.0,,134.0,4.0,,,
82333,2020-06-15 13:26:03,格恩西岛,252,0,238,13,0,,,,,,,,
95677,2021-05-15 19:52:00,罗马尼亚,1071334,0,1023822,29485,0,0.0,729.0,,1793.0,72.0,,,
95436,2021-05-15 08:31:52,阿曼,202713,0,186391,2148,0,0.0,0.0,,0.0,0.0,,,
95672,2020-06-15 14:25:46,列支敦士登,82,0,55,1,0,,,,,,,,
9547021,2021-05-15 19:52:00,马达加斯加,40005,0,37673,754,0,0.0,117.0,,242.0,6.0,,,
